id,frame,q,a,eq,ea
25,15,영친왕의 부인은 누구예요?,일본인인 마사코로 우리 이름으로는 이방자 라고 부른다네,Who is King Yeong Chin's wife?,"Her name is Masako, a Japanese, who is also called a stranger in our name."
26,8,의친왕은 누구예요?,귀인 장씨 사이에서 태어난 아들로 본명은 이강이라네.,Who is King Ui Chin?,"His real name is Yi Kang, a son delivered by noble Consort Gwi-in of the Deoksu Jang clan."
27,28,12살 어린나이에 왕이 되셨는데 어린왕이 어떻게 나라를 다스릴수 있어요?,형식적으로는 어머니인 대왕대비마마가 수렴청정을 하고 대원군이 섭정을 통해 나라를 다스렸지,You became a king at the age of 12. How can such a young king rule the country?,"On the surface, it appeared that the grand Queen Dowager ruled as regent; however, Daewongun was the substantive regent to rule the country."
,,,,,
29,20,왕이 되던 날 기억하세요?,음력으로 1863년 12월 13일 이네,Do you remember the day when you became the king?,It was 13th December 1863 by the lunar calendar.
30,24,직전의 재위한 왕이 누구인가요?,조선 25대왕 철종이시네,Who was the previous reigning king?,"It was Cheoljong, the 25th king of Joseon."
31,20,연호가 있나요?,"처음에는 중국 청나라의 연호를 사용하다가 개국, 건양, 광무 등으로 연호를 제정했네",Is there an era name?,"At first, we used the era name of the Qing Dynasty in China, but later established such era names as Kaeguk, Kunyang, and Gwangmu."
32,20,사진을 보니 왕관을 쓰고 있는 것이 있고 짧은 머리인게 있는데 뭐가 맘에 드세요?,단발이 가볍기는 하나 부모가 주신 머리털을 자랐는데 마음이 무겁지...,"Looking at the picture, there is a picture of you wearing a crown and a picture of you with short hair. Which one do you like?","The short hair is light, but my heart is heavy thinking that I cut off my parents’ inheritance."
33,33,왕이 처음 되셨을때 정치적인 상황은 어땠나요?, 안동김씨와 풍양조씨가 세력이 강했지.   아버님께선 이를 세도가문을 척결하고 왕권을 강화하려 하셨네,What was the political situation when you first became the king?,Andong Kim Clan and Pungyang Jo Clan were formidable. My father attempted to eradicate these noble families and strengthen the kingship. 
34,26,왕권을 어떻게 강화하셨나요?,세도가문의 힘을 약화시키고 왕실의 권위를 높이기 위한 정책을 취했다네,How did he strengthen the kingship?,He adopted a policy to weaken the power of the noble families and increase the authority of the royal family.
35,26,세도가문을 어떻게 척결했나요?,안동김씨 일족과 타협하여 국정을 운영했네,How did he eradicate the noble families?,He negotiated a compromise with the Andong Kim clan to run the state administration.
36,20,군사제도는 어떻게 개편했나요?,훈련도감에 포수를 선발하고 수군을 강화해서 군권을 강화했네,How was the military system reorganized?,We recruited gunners as part of Hullyeondogam (Military Training Command) and reinforced naval forces to strengthen the military power.
37,34,비변사가 뭔가요?,국경에 외적이 쳐들어올때를 대비한 임시기구였는데 내가 즉위할때만 해도 모든 권력이 집중된 최고 권력기구였네,What is Bibyeonsa (Border Defense Council)?,"It was a temporary organization installed in case of foreign enemy invasion of the border, but when I was crowned it was already the highest authority, in which all power was concentrated."
38,20,비변사를 어떻게 폐지했나요?,"비변사에 집중되어 있던 군권과 행정권을 분리시켰네 군권은 삼군부로, 행정권은 의정부로 나눴지",How wsa Bibyeonsa (Border Defense Council) abolished?,"We separated military power and administrative power, which was contenctrated in Bibyeonsa (Border Defense Council), and conferred the military power to Samgunbu (The Three Forces) and the administrative power to Uijeongbu (the State Council)."
39,39,삼정이 뭐에요?,"조선시대 대표적인 세가지 세금이네, 땅에 부과하는 전정, 국방비에 해당하는 군정, 복지제도이나 사실상의 세금이었던 환곡이라네",What is Samjung?,"It is Joseon's representative three tax systems. Jeonjeong refers to the tax imposed on land. Gunjeong is the tax collected for military use, and Hwan-gok is the actual tax used for the welfare system."
40,26,삼정의 문란이 무슨뜻이에요?,"질서가 무너졌다는 뜻이네, 즉 세금이 제대로 걷히지 않거나 마구잡이로 걷어들여졌다는 뜻이지",What is the meaning of Samjung Disorder?,It literally means that the order went chaotic. Taxes weren’t being appropriately collected or collected exorbitantly.
41,40,호포법이 뭔가요?,"군정의 문란을 보완하기 위해 기존에 신분별로 걷던 군포를 집별로 부과했네, 양반들에게도 군포를 걷기위함이었네",What is Hopo Law?,"To compensate for the disorder in the military administration, Gunpo (To be exempted from military service, a family had to offer hemp cloth), which was previously collected by status, was now imposed on a house-to-house basis. This allowed Gunpo to be applied to even the Yangban (the traditional ruling class)."
42,33,집별로 걷으면 왜 양반이 세금을 내요?,"신분별로 걷을때는 양반은 관리이거나 학생이라는 이유로 면제됬다네, 그런데 집별로 걷으면 양반들에게도 공평하게 걷을 이유가 생기지.",Why doYangban (the traditional ruling class) pay taxes when taxes are paid on the house-to-house basis?,"When taxes were collected according to the status, the Yangban were exempted because they held a title as an official or a student. But if you collect taxes house to house, you have a justifiable reason to impose taxes on the Yangban."
43,31,호포제 시행으로 세금내는 양반이 많이 늘었나요?,기존에는 면세혜택을 받는 양반이 전체 49%였다면 이제 세금을 내는 양반이 70%가 넘었으니 큰 차이가 생긴것이지,Did the Hopo Law raise the number of Yanaban who paid taxes?,"Before its implementation, 49% of the Yangban class were exmpted from paying taxes. However, following its launch, 70% the Yangban had to pay taxes, and that made a huge difference."
44,21,전정의 문란은 어떻게 고쳤나요?,땅주인들이 세금을 내지 않으려 나라에 신고하지 않은 땅을 찾아내고 세금을 부과했지,How did we correct Jeonjeong Disorder?,We sought out the landlords who tried to avoid paying taxes by not registering their lands and rightly imposed the tax.
45,21,환곡의 문란은 어떻게 고쳤나요?,사창제라 하여 주민들이 자치적으로 곡식을 대여하는 제도로 개편했네,How did we correct Hwan-gok Disorder?,It was reorganized into a system where residents autonomously borrowed grains. It was called the Sachangje system.
46,21,서원이 뭔가요?,유생을 교육하는 사설 교육기관이었다네,What is Seowon?,It was a private educational institution to educate Yusaeng (Confucian Scholars of Joseon).
47,21,서원을 왜 대폭 정리하나요?,서원이 백성을 수탈하는 기관으로 변질되었고 붕당정치의 온상이 되었기에 정말 필요한 곳 47곳만 남기고 철폐를 했지,Why did we rectify Seowon so drastically?,"Since Seowon was corrupted into an institution that exploited the people and became a hotbed for the Bungdang (political faction) politics, only 47 places were left and abolished."
48,21,만동묘가 뭔가요?,임진왜란 때 조선을 도와준 명나라에 대한 감사의 의미로 송시열의 제자들이 지은 사당이네,What is Mandongmyo?,It is a shrine built by the disciples of Song Si-yeol as a sign of gratitude for the Ming Dynasty who helped Joseon during the Imjin War.
49,28,만동묘를 왜 없앴나요?,붕당정치의 기반이 되었기에 아버님께서는 대폭 정리하셨다고 하더군,Why was Mandongmyo removed?,My father said he removed it because it became the foundation of the Bungdang politics.
50,20,사대가 무슨 뜻인가요?,"작은 나라가 큰 나라를 섬긴다는뜻이네, 동아시아 지역은 중국을 중심으로 하여 주변국들이 중국의 왕조를 섬기는 국제질서가 유지되었지",What does Sadae mean?,"It means that a small country serves a big country. The East Asian region maintained an international order centered around China, where neighbors served the Chinese dynasty."
51,30,중건이 뭔가요?,다시 짓는다는 뜻이네,What does Junggeon mean?,It means to rebuild.
52,20,경복궁을 왜 중건한건가요?,임진왜란때 불탄 조선의 중심인 경복궁을 복구함으로서 무너진 왕실의 권위를 살리려 한것이네,Why did you rebuild Gyeongbokgung Palace?,"We tried to revive the collapsed royal family's authority by restoring Gyeongbokgung Palace, the center of Joseon that was burned down during the Imjin War."
53,7,당백전이 뭔가요?,"경복궁을 중건하기 위해 발행한 고액화폐이네, 상평통보의 100배 가치를 갖는다네",What is Dangbaekjeon?,"It's a large currency issued to rebuild Gyeongbokgung Palace, and it's worth 100 times the value of Sangpyeong Tongbo (a cash coin)."
54,7,당백전이 발행되면서 문제가 생겼나요?,고액화폐를 갑자기 발행하니 화폐의 가치가 떨어졌지.. 물가가 폭등해서 백성들의 삶이 어려웠다고 하는군,Did we have any problems following the issuance of the Dangbaekjeon?,Suddenly issuing a high-value currency resulted in the depreciation of money. The life became difficult for the people because the prices soared.
55,39,원납전이 뭔가요?,벼슬아치나 부호들에게 경복궁 중건을 위해 모은 기부금이네,What is Wonnapjeon?,It's a donation collected for the reconstruction of Gyeongbokgung Palace from the officials and the rich people.
56,13,당백전이나 원납전 말고 다른 경제정책도 있어요?,청나라의 돈을 수입해서 부족한 재원을 메꾸려 했다는데 이것도 큰 효과를 얻지 못했다네,Are there any other economic policies besides Dangbaekjeon and Wonnapjeon?,"We tried to make up for the lack of financial resources by importing Qing's money, but this did not have a significant effect either."
57,2,경복궁 중건에 대한 백성들의 반응은 어땠어요?,아쉽지만 양반이나 백성들 모두 원망을 했다고 하더군… ,How did people respond to the reconstruction of Gyeongbokgung Palace?,"Sadly, it was said that both the Yangban and the people complained "
58,12,경복궁을 중건과정에서 양반들이 유독 분노한 대표적인 사건이 있나요?,양반들이 조상들의 묘를 꾸미기 위해 조성한 묘지림을 벌목해서 궁궐을 짓는데 동원했지.. 이게 양반들을 분노하게 했다는 군,"In the process of rebuilding Gyeongbokgung Palace, was there a notable case in which the Yangban were particularly angry?","Trees from the cemetery forest, a forest that was developed to decorate the graves of Yangban's ancestors, were cut down and used to build the palace. This made the Yangban very angry."
59,25,경복궁을 중건과정에서 일반 백성들이 가장 힘들어한게 뭔가요?,백성들을 토목공사에 강제로 동원했다고 하던군,"In the process of rebuilding Gyeongbokgung Palace, what was the most difficult thing for the general people?",People were forcefully mobilized into public works.
60,11,대원군이 시행했던 사회개혁 중 기억에 남는게 있나요?,"허례허식과 사치를 억제하려 하셨다네, 검정신발을 신게하고 작은 갓과 소매가 좁은 두루마기를 장려했다네",Are there any memorable social reforms that Daewongun implemented?,"He tried to do away with empty formalities and vanity and luxury. He encouraged people to wear black shoes, and he encouraged Durumagi (traditional Korean overcoat) with small shades and drapes with narrow sleeves."
61,7,대원군 집권기 대규모 반란이나 민란은 없었나요?,이필제의 난 처럼 아버님의 정책에 반발을 하는 이들도 있었다고 하더군,Was there any major rebellion or civil revolt during the Daewongun administration?,"As seen in Lee Pil Jae's Coup, some people strongly opposed Daewongun's policy."
62,1,대전회통이 뭐예요?,"이전의 경국대전이나 속대전, 대전통편처럼 기존 법전에서 이 시대에 맞게 개정을 한거라네, 정치와 사회기강을 바로잡기 위해 만든 것이지",What is Daejeon Hoetong?,"Just like Gyeonggukdaejeon (law code), Sokdaejeon (Books published by Kim Jae-ro), and Daejeontongpyeon (books published by Kim Chi-in), it is a revised code of law suitable for the era. The goal was to rectify politics and social discipline."
63,20,1850~60년대 중국에서는 무슨 일이 있었나요?,"서양인들이 청에 침공을 했다고 들었네, 아편이 문제가 되었다고 하던데… 외세의 침략에 국력을 키우고자 양무운동이라는 것이 추진되었다고 들었네",What happened in China in the 1850s-60s?,I heard that Westerners invaded Qing. People say opium was the problem... I heard the Yangmu undong (Chinese Self-Strengthening Movement in the late 19th century) was promoted to increase national power against foreign invasion.
64,20,양반들이 대원군을 얼마나 싫어했어요?,유생들은 아버님을 '동방의 진시황' 이라고 비난을 했다고 하더군…,How much did the Yangban hate Daewongun?,I heard that the Yusaeng accused him of being 'the Qin Shi Huang of the East'...
65,14,대원군 집권기 군사력 증강을 위한 정책도 있었나요?,수뢰포라고 하여 신무기도 개발하고 무신을 대거 선발하여 우대하는 정책도 폈다네,Was there a policy to increase the military power of the Daewongun administration?,"New weapons such as torpedo guns were developed, and a new policy was adopted to select and favor a large number of war gods. "
66,20,처음부터 천주교와 사이가 안좋았나요?,아버님도 처음에는 러시아의 남하를 저지하기 위해 프랑스와 교섭을 하려 하셨다네 하지만 유생들이 천주교 금지를 주장하자 어쩔수 없이 박해를 하신거지,Has there been a bad relationship with Catholics from the beginning?,"At first, my father tried to negotiate with France to stop Russia from marching south. But when the Yusaeng claimed the ban on Catholicism, he was forced to persecute him."
67,20,어떤사람들이 어떻게 박해를 당했나요?,프랑스 신부 9명을 비롯하여 8천명의 신도들을 처형했네,How were some people persecuted?,"We executed 8,000 Catholics, including nine French priests."
68,31,천주교를 왜 박해하나요?,"조선은 신분제 국가인데, 왕보다 하느님을 더 높이고 조상에 대한 제사를 거부하는 그들을 인정할수 없었다네",Why were Catholics persecuted?,"Joseon was a system based on social status, and people could not accept Catholics who raised God above the king and refused ancestor worship."
69,18,병인박해가 무슨 뜻이에요?,병인년(1866년)에 발생한 천주교 신자에 대한 박해라고 해서 병인박해라 하네,What is the meaning of Byeongin Bakhae (persecution)?,The persecution against Catholics took place in the year of Byeongin (1866). So it is called Byeongin Bakhae (persecution).
70,28,천주교 신자들이 어디서 처형됬나요?,양화진 근처에 절두산이라는 곳에서 처형이 되었다네,Where were Catholics executed?,They were executed at a place called Jeoldusan (lit. beheading mountain) near Yanghwajin.
71,25,병인박해 결과 어떻게 되었나요?,프랑스가 병인박해를 구실로 삼아 강화도를 침략했네 이를 병인양요라 하네,What happened as a result of the persecution?,The French invaded Ganghwa Island using Byeongin Bakhae as an excuse. This is called Byeongin Yangyo.
72,19,병인박해를 프랑스가 어떻게 알았어요?,병인박해를 피해 탈출한 프랑스 신부 리델이 프랑스 극동함대 사령관 로즈 제독에게 병인박해의 사실을 알렸다고 하더군,How did France find out about Byeongin Bakhae?,"The French priest Ridel, who escaped Byeongin Bakhae, told Admiral Rose, the French Far East Fleet commander, about the incident."
73,25,양요가 뭔가요?,양인(서양인)들이 소요(난동)을 일으켰다는 뜻으로 서양인들이 우리 조선을 침략한 사건을 말하지,What does Yangyo mean?,It refers to the incident where Westerners invaded Korea. It came from the words Yangin (Westerners) and Soyo (riots).
74,20,병인양요 당시 프랑스 군의 규모는 어느정도였어요?,"로즈제독이 이끄는 전함 7척, 병사 1,500여명이 침략을 했다네",What was the size of the French army in Byeongin Yangyo (Foreign Disturbance of 1866)?,"One thousand five hundred soldiers, along with seven battleships led by Admiral Rose, invaded us."
75,0,프랑스는 왜 하필 강화도를 침략한거에요?,강화도는 한양(서울)과 가장 가까운 군사 요충지로 한강을 타고 바로 한양으로 접근할 수 있는 중요한 곳이지,Why did France choose to invade Ganghwa Island?,"Ganghwado Island is the closest military strategic point to Hanyang (Seoul), and it is an important place where you can access Hanyang through the Han River."
76,15,프랑스는 어떻게 강화도를 침략했어요?,강화성과 문수산성 등으로 침략해서 강화도를 점령해나갔네,How did the French invade Ganghwa Island?,They invaded Ganghwaseong Fortress and Munsusanseong Fortress and gradually occupied Ganghwa Island.
77,25,프랑스를 격퇴한 사람들은 누구인가요?,정족산성에서 양헌수 장군이 활약을 했네 이들의 활약덕에 조선군이 승리를 했지,Who defeated the French army?,General Yang Heon Soo and his army played a key role in Jeongjoksanseong Fortress. Their dedication led to Joseon's victory.
78,20,병인양요 당시 양헌수 장군이 어떻게 프랑스 군을 격퇴했어요?,"549명의 군사를 이끌고 강화해협을 몰래 건너 정족산성에 들어가 잠복을 한뒤, 프랑스 군을 물리쳤다네",How did General Yang Heon-soo defeat the French army during Byeongin Yangyo?,"He led 549 soldiers in secret across the Ganghwa Strait, staked out at Jeongjoksanseong Fortress, and defeated the French army."
79,20,프랑스는 순순히 물러갔나요?,그냥갔겠는가… 강화도에 있던 외규장각를 약탈해서 그곳에 보관되어 있던 많은 왕실의 자료나 책들을 약탈해간걸로 알고 있네,Did the French army retreat willingly?,"Unfortunately, no. They looted Oegyujanggak (a royal library) in Ganghwa Island and stole many royal resources and books that were stored there."
80,26,프랑스 군의 사상자는 어떤가요?,"사망 6명, 부상 30여명이 있었던 것으로 알고 있네, 프랑스의 기록은 사망 3명으로 기록하고 있지",What were the casualties of the French army?,"There were six deaths and 30 injuries, but the French record documented three deaths."
81,23,평양에 외국배가 자주 오고갔나요?,제너럴셔먼호 이전에도 영국 상선이 와서 평안감사가 사람들을 모아 격퇴하기도 했었다네,Did foreign boats frequent Pyongyang?,"Even before General Sherman showed up, British merchant ships came, and the Pyungan governor gathered soldiers and repelled them."
82,9,신미양요가 뭔가요?,신미년(1871년) 발생한 양인들의 소요사건을 말하네,What is Shinmi Yangyo?,It refers to the riot of Westerners in the year of Shinmi (1871).
83,18,신미양요는 누가 쳐들어 온거에요?,미국이라는 나라가 쳐들어 왔네,Who were the invaders during Shinmi Yangyo?,A country called the United States invaded us.
84,22,미국은 왜 조선을 침략했나요?,5년전에 있었던 제너럴 셔먼호 사건을 구실로 삼았지,Why did the United States invade Joseon?,"They used the General Sherman incident, which happened five years ago, as an excuse."
85,22,제너럴셔먼호는 뭔가요?,미국이 운영하던 상선이라네,What is General Sherman?,It's a merchant ship commanded by the United States.
86,35,평양에서 무슨 일이 벌어졌나요?,평양으로 와서 통상을 요구하며 평양 군민들에 대한 약탈과 살육을 자행했네,What happened in Pyongyang?,"They came to Pyongyang, demanded commerce, and plundered and slaughtered the Pyongyang soldiers."
87,30,제너럴 셔먼호 사건이 뭐에요?,미국인들이 자행한 만행에 평안감사 박규수와 평양 군민들이 합심해 선원들을 살해하고 배를 불태웠네,What is the General Sherman Incident?,"In retaliation against the Americans’ cruelty, Pyungan governor Park Gyu Su and Pyongyang military people joined forces to kill the sailors and burned the ship."
88,21,박규수가 누구인가요?,연암 박지원의 손자로 당시에는 평안도 일대를 다스리던 감사였네,Who is Park Gyu-su?,He was Yeonam Park Ji-won's grandson and a governor who governed the whole area of Pyungando province.
89,21,제너럴 셔먼호 사건의 결과는요?,이 사건을 구실로 삼아 미국이 신미년에 강화도를 침공했네,What was result of the General Sherman Incident?,"Using this incident as an excuse, the US invaded Ganghwa Island in the Shinmi year."
90,21,신미양요 당시에 미군의 규모는 얼마나됬나요?,"5척의 군함과 1,200여명의 병력이 쳐들어 왔다네",What was the size of the US military at the time of Shinmi Yangyo?,One thousand two hundred troops along with five warships invaded us.
91,24,신미양요때 활약한 분이 있나요?,어재연 장군이 광성보 일대에서 죽음을 무릎쓰고 활약을 했다고 들었네.. 이때 350여명의 장병들이 전사하거나 20여명이 포로로 잡혀갔지,Is there anyone who played a crucial part in Shinmi Yangyo?,"I heard that General Eo Jae-yeon demonstrated true valor by fighting to the death in the area of ??Gwangseongbo. At the time, about 350 soldiers were killed, and about 20 were taken prisoner."
92,24,신미양요의 결과는요?,아버님께서는 전국적으로 척화비를 세우시고 강화도의 수비를 강화하셨다네,What was the result of Shinmi Yangyo?,My father set up Cheokwabi (Anti-foreign Steles) and strengthened the defense of Ganghwa Island.
93,24,신미양요 직후 강화도 수비를 어떻게 강화했나요?,"강화도에 3,000~4,00명의 병력을 항상 주둔하려했고 이를 위해 심도포량미라고 하여 특별세금을 거두었네",How did he strengthen the defense of Ganghwa Island right after Shinmi Yangyo?,"He tried to station 3,000-4,000 troops on Ganghwa Island all the time. To do this, he collected a special tax called Simdoporyangmi (rice offered as tax)."
94,21,심도포량미는 얼마나 거뒀나요?,토지 1결당 쌀 1두씩 거두었네,How much was collected as Simdoporyangmi (rice offered as tax)?,"It was 18 liters of rice per 10,809㎡ of land."
95,21,척화비가 뭔가요?,"洋夷侵犯 非戰則和 主和賣國 (서양 오랑캐가 침범하였는데 싸우지 않는 것은 화의를 주장하는 것이고, 화의를 주장하는 것은 나라를 파는 것이다.) 라는 글귀를 세긴 비석이네",What is Cheokwabi (Anti-foreign Steles)?,"洋夷侵犯 非戰則和 主和賣國 (“Western barbarians invade our land. If we do not fight, we must then appease them. To urge appeasement is to betray the nation”) It's an anti-western monument that reads the above phrase."
96,21,오페르트는 누구인가요?,독일의 상인이라고 하던데… ,Who is Oppert?,He is known as a German merchant. 
97,56,오페르트 도굴사건은 뭐예요?,감히 나의 할아버님이신 남연군의 묘를 도굴해 통상을 요구하려 했다네!!,What is the Oppert’s Tomb Robbery?,"He dared to steal from the grave of my grandfather, Namyeongun, and attempted to demand a trade!!"
98,20,남연군의 묘는 어디에 있었나요?,충청남도 덕산에 모셔져 있었네,Where was the tomb of Namyeongun?,"It was located in Deoksan, Chungcheongnamdo."
99,26,오페르트 도굴사건때 대원군의 반응은요?,아버님과 나 역시 모두 분노했다네,How did Daewongun react to the Oppert's Tomb Robbery incident?,Both my father and I were angry.
100,23,친정을 선포할때 아버님이신 흥선대원군과 문제는 없었나요?,"10년이라는 세월동안 나라를 다스리셨으니 감사하지, 하지만 나이 22살에 이제 왕으로서 통치를 하려면 어쩔수 없는 과정이었지","Did you have any problems with your father, Heungseon Daewongun, when you declared Direct Rule?","I was grateful that he had ruled the country for the past ten years, but it was an inevitable process for me to rule as a king at the age of 22."
101,16,친정 선포 과정은 어땠어요?,최익현이 올린 탄핵상소를 계기로 삼아 행정권과 군권을 내가 관장하도록 선포했네,How was the process of declaring direct rule?,"Taking advantage of the impeachment appeal filed by Choi Ik-hyun, I proclaimed that I would oversee administrative and military powers."
102,16,친정을 선포하고 나서 스스로 통치하는 왕이 되셔서 기분이 어떠셨나요?,하지만 민씨가문이 득세를 했으니… 그래도 왕비와 그 집안의 도움이 컸지,How did you feel about becoming a reigning king after declaring direct rule?,"Well, Queen Min’s family gained power... The queen and her family had been a great help."
103,20,친정 선포 이후 왕비의 집안이 권력을 장악했다고 하는데 대표적으로 누가 있나요?,"민태호, 민규호, 민영목 등이 있네, 이들은 개화사상에 영향을 받은 인물들이지",It is said that the queen's family seized power after you declared direct rule. Who are the most significant people?,"There are Min Tae-ho, Min Kyu-ho, Min Young-mok, etc. They were influenced by the Enlightenment Thought."
104,18,북학사상이 무엇인가요?,"18세기 이후 북학, 즉 청으로 부터 사상, 기술 등을 배우자는 주장이라네",What is Bukhak Thoughts?,"It is a claim that surfaced after the 18th century. Its argument is to learn ideas, techniques, etc., from Bukhak, or Qing."
105,20,우리에게 최초로 통상을 요구한 나라는 어디에요?,"영국이라네, 영국의 로스 암허스트로가 통상을 요구했으나 거절했다고 들었네",Which country was the first to ask us for trade?,"It's Great Britain. I heard that The Lord Amherst of Great Britain asked for commerce, but we refused."
106,18,집권 초기 당시 일본의 상황은 어땠어요?,일본은 장군들이 실질적 통치를 하는 막부시대가 끝나고 메이지 천황이 다스리는 메이지유신이라는 것을 단행했다고 하더군,How was the situation in Japan in the early days of your rulership?,"I heard that the Shogunate era, in which the generals ruled, came to an end. Subsequently, Emperor Meiji launched the Meiji Restoration to commence his rulership."
107,20,일본은 누구에게 개항을 했어요?,미국에 의해 개항을 했다 들었네 미일화친조약이라지 아마,To whom did Japan open its ports?,I heard that the port was opened by the US. I believe it's called Kanagawa Treaty.
